noise_sigma,accuracy_mean,accuracy_std,repeats
0,0.9805555555555555,0.0,10
1,0.16249999999999998,0.009879677357654854,10
2,0.11861111111111111,0.007662841235629843,10
4,0.10333333333333332,0.0027216552697590856,10
6,0.10166666666666666,0.002222222222222219,10
