model,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_macro_f1,correct,test_size
Dummy baseline,0.10090495547812621,0.00017188153924872253,0.1,0.01818181818181818,36,360
Logistic Regression,0.9679950638792102,0.007404622404926589,0.9722222222222222,0.9719402197048348,350,360
RBF SVM,0.9812161246612467,0.00518452613832833,0.9805555555555555,0.9805015284652674,353,360
